,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
0,Paul Gregutt,"Along with entry-level varietal wines, Pike Road offers limited-production single-vineyard Pinots. This young wine is still knitting itself together. In one corner is fresh blackberry fruit, while across the way it brings up wet rock minerality. There's a bit of a gulf in between these dominant components, which may be resolved with a bit more bottle age.",89,$35,Xander Taryn Vineyard,Pinot Noir,"Chehalem Mountains, Willamette Valley, Oregon, US",Pike Road,14%,750 ml,Red,8/1/2020,Not rated yet [Add Your Review],,
1,Kerin O’Keefe,"This opens with aromas suggesting tangerine zest, nut and orchard fruit, while the bright palate offers pink grapefruit, graphite, candied citrus and a hint of orange-flavored liqueur. A continuous perlage provides the backdrop.",90,$30,La Riserva,"Lambrusco di Sorbara, Italian Red","Lambrusco di Sorbara, Central Italy, Italy",Paltrinieri,12%,750 ml,Sparkling,12/31/2018,Not rated yet [Add Your Review],Lyra Wine,
2,Roger Voss,89-91. Barrel sample. Mint and plum-juice flavors mingle easily in this densely fruity wine. It combines sweet tannins and dark fruit with spice imparted from wood aging. It's already juicily attractive.,90,N/A,Barrel Sample,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",Château Soutard,N/A,750 ml,Red,5/1/2012,Not rated yet [Add Your Review],Château Soutard,
3,Anne Krebiehl MW,"Spritz and lemony freshness characterize this light-footed offering. It almost fizzes with freshness and verve and remains firmly in the greenish-yellow citrus spectrum of refreshing flavors. A perfect, light summer sip.",90,$39,Senftenberger Piri Reserve,Riesling,"Kremstal, Austria",Nigl,13%,750 ml,White,9/1/2015,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
4,Virginie Boone,"This is an estate-grown white, unfettered by oak, that opts instead to focus on floral apple-blossom aromas and bright, fresh flavors of tangerine and grapefruit zest. A bite of green apple shines on the finish.",90,$20,Teresa's Unoaked Estate Grown Estate Bottled,Chardonnay,"Russian River Valley, Sonoma, California, US",Balletto,13.4%,750 ml,White,12/31/2017,Not rated yet [Add Your Review],,
5,Roger Voss,"A fruity wine with a stalky red-fruit character. It has firm layers of toast and spice that are dominant at this stage and need to calm down. When they do, it will be a wine that is full of bright fruit and final acidity.",86,$13,Quinta de S. Francisco,Portuguese Red,"Obidos, Portugal",Sanguinhal,13.5%,750 ml,Red,12/1/2016,Not rated yet [Add Your Review],Sarmento's Imports,
6,Roger Voss,"A currant flavor pushes this wine to a rich, concentrated fruitiness. It is dry, although the superripe fruit gives an illusion of sweetness. The concentration and density of the fruit are impressive. Screwcap.",91,N/A,Schiefer Reserve,Grüner Veltliner,"Kremstal, Austria",Forstreiter,13.5%,750 ml,White,7/1/2012,Not rated yet [Add Your Review],"Frederick Wildman & Sons, Ltd",
7,Roger Voss,"The Riesling, in all its noble glory, can make some of the greatest sweet wines, and Bründlmayer shows how with this delicate, but finely balanced wine. Unlike some of his TBA offerings, this is light, as much to do with freshness as sweetness. Delicious and now ready to drink.",93,N/A,Zöbinger Heiligenstein Riesling Beerenauslese,Riesling,"Kamptal, Austria",Bründlmayer,11%,375 ml,Dessert,2/1/2007,Not rated yet [Add Your Review],"Skurnik Wines, Inc",
8,Roger Voss,"Toasty, poised wine with delicious, ripe and elegant fruit. There is structure which shows right through the wine, forming the base for flavors of vanilla and citrus fruits.",91,N/A,Les Preuses,Chardonnay,"Chablis, Burgundy, France",Domaine Simonnet,N/A,750ML,White,6/1/2001,Not rated yet [Add Your Review],Atlanta Improvement Co,
9,Anna Lee C. Iijima,Old-world elegance abounds in this rustic yet deftly balanced wine. Crisp blackberry and raspberry notes intertwine with savory hints of earth and barnyard. Fresh acidity electrifies a long finish.,88,$15,,Cabernet Franc,"Finger Lakes, Finger Lakes, New York, US",Fulkerson,12%,750 ml,Red,12/31/2015,Not rated yet [Add Your Review],,
10,Joe Czerwinski,"Black cherry and vanilla start strong enough, and touches of herbs and black pepper add complexity to the nose. The palate is a bit candied and simple, turning very tangy on the finish.",84,$35,,Pinot Noir,"Nelson, New Zealand",Rimu Grove,14.1%,750ML,Red,4/1/2004,Not rated yet [Add Your Review],Via Pacifica Imports,
11,,"This is Sextant's most successful of 10 new 2010 releases. It tastes like a best-of-barrels blend of Zinfandel, Petite Sirah and Syrah. Rich, layered and satisfying, it offers waves of berries, herbs, cocoa, savory tobacco leaf, bacon and exotic spices. Drink now.",90,$50,Night Watch,"Red Blends, Red Blends","Paso Robles, Central Coast, California, US",Sextant,14.9%,750 ml,Red,8/1/2013,Not rated yet [Add Your Review],,
12,Matt Kettmann,"A strong hazelnut aroma meets poached pear and cotton candy on the nose of this bottling, giving a rich yet tightly woven impression. The palate is oily in texture, with walnut, dried apricot and browned apple flavors.",88,$30,,Chardonnay,"Santa Cruz Mountains, Central Coast, California, US",Portola Vineyards,13.5%,750 ml,White,12/1/2017,Not rated yet [Add Your Review],,
13,,"Serious cellar Cabernet here. It's eruptive with jammy, blackberries, cherries and black currants, with a delicious edge of dark chocolate. The new oak adds spicy, pungent notes of buttered toast and caramel. Yet it's also very tannic. So balanced and finessed, this Cab should have no trouble negotiating the next 10-plus years. Maybe longer. Much longer.",94,$100,Lampyridae Vineyards,Cabernet Sauvignon,"Mount Veeder, Napa, California, US",Communication Block,14.6%,750 ml,Red,8/1/2013,Not rated yet [Add Your Review],,Cellar Selection
14,Paul Gregutt,"This is the first reserve for Bridgeview. It's a block selection, treated the same as their regular bottling; i.e., all stainless, no malolactic. That said, it has an extra dimension, good texture, more elegance and lovely fruit.",89,$16,Reserve,Pinot Gris,"Oregon, Oregon Other, Oregon, US",Bridgeview,13%,750 ml,White,8/1/2002,Not rated yet [Add Your Review],,Editors' Choice
