,wine_name,taster,desc,rating,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer,badge
0,McGregor 2007 Rob Roy Red Red (Finger Lakes),Anna Lee C. Iijima,"Hints of black coffee, dried lavender and herb add punch to the lean plum and cherry flavors of this medium-bodied Cabernet Franc blend. Brisk on the palate, with an herbaceous, green note that persists, it finishes firm, with a chalky coating of tannins.",85,$40,Rob Roy Red,Bordeaux-style Red Blend,"Finger Lakes, Finger Lakes, New York, US",McGregor,12.7%,750 ml,Red,11/1/2012,Not rated yet [Add Your Review],,
1,Nectar Of The Dogs 2017 3 Dogs White (Santa Barbara County),Matt Kettmann,"There is a pleasant tightness to the nose of this obscure blend of Viognier, Gewürztraminer and Muscat Canelli, with hints of crushed rock as well as lemon-pith aromas. The palate is quite ripe, with loads of pear and apples and a slight smoke tone.",86,$30,3 Dogs,White Blend,"Santa Barbara County, Central Coast, California, US",Nectar Of The Dogs,13.8%,750 ml,White,10/1/2020,Not rated yet [Add Your Review],,
2,Cantina Bergamasca 2010 Pinot Bianco (Lombardy),,"Here is a fresh expression of Pinot Bianco from the Lombardy region of northern Italy that exhibits sweet aromas of peach and apricot followed by almond honey and white flower. In the mouth, this crisp white wine shows a touch of sourness.",84,$14,,"Pinot Bianco, Pinot Blanc","Lombardy, Lombardy, Italy",Cantina Bergamasca,12%,750 ml,White,9/1/2011,Not rated yet [Add Your Review],The Harvest Importing,
3,Belvedere 2000 Chardonnay (Russian River Valley),,"Rich and ripe, with fine-tuned layers of pear, melon, citrus, apple, herb and pretty toast notes. Well balanced and refined, the wine finishes long, with a tangy, fresh edge to the vibrant flavors.",90,$20,,Chardonnay,"Russian River Valley, Sonoma, California, US",Belvedere,14.1%,750ML,White,12/31/2002,Not rated yet [Add Your Review],,
4,Jermann 2018 Sauvignon Blanc (Venezia Giulia),Kerin O’Keefe,"Racy and fragrant, this vibrant white is loaded with finesse and tension, opening with aromas of citrus, wild herb and a whiff of honeysuckle. On the elegant, tangy palate, crisp acidity accompanies juicy pineapple, white grapefruit and succulent white peach alongside an energizing saline note.",93,$35,,Sauvignon Blanc,"Venezia Giulia, Northeastern Italy, Italy",Jermann,13%,750 ml,White,12/31/2019,Not rated yet [Add Your Review],LUX Wines,Editors' Choice
5,Hickinbotham 2013 Brooks Road Shiraz (McLaren Vale),Joe Czerwinski,"As Australian vineyards go, this isn't that old, having been planted in 1971. Chocolate and vanilla shadings frame bowls of mixed berries in this full-bodied, powerful wine. It finishes long and intense, outlined by dusty tannins.",94,$75,Brooks Road,Shiraz,"McLaren Vale, South Australia, Australia",Hickinbotham,14.5%,750 ml,Red,10/1/2016,Not rated yet [Add Your Review],Majestic Imports,
6,Pontecilla 2009 Old Vines Tempranillo (Calatayud),Michael Schachner,"Dark, crusty and minty on the nose, with obvious oak. The palate is tannic as a drill, with hard blackberry and herbal flavors. Toasty and peppery tasting on the finish, which is tough and drawing in feel.",84,$10,Old Vines,Tempranillo,"Calatayud, Northern Spain, Spain",Pontecilla,14%,750 ml,Red,11/1/2011,Not rated yet [Add Your Review],Kysela Père et Fils,
7,Manzone Fratelli 2011 Fraschin  (Barolo),Kerin O’Keefe,"Aromas of baked plum are joined by earthy whiffs of truffle, leather, game and cured meat. The aromas carry over to the ripe, dense palate along with fleshy black cherry, anise, mocha and mint. Velvety tannins provide the framework while a confectionary note backs up the finish. Drink 2017–2022.",90,$45,Fraschin,Nebbiolo,"Barolo, Piedmont, Italy",Manzone Fratelli,14.5%,750 ml,Red,2/1/2016,Not rated yet [Add Your Review],Undiscovered Wines,
8,Hosmer 2014 Cabernet Franc (Cayuga Lake),Anna Lee C. Iijima,"A hint of rose petal breathes exotic perfume into this granite-laced Cabernet Franc. Ripe black cherry and graham cracker notes soften the palate and round out a moderately long, spicy finish. Drink now through 2017.",88,$18,,Cabernet Franc,"Cayuga Lake, Finger Lakes, New York, US",Hosmer,12.7%,750 ml,Red,3/1/2016,Not rated yet [Add Your Review],,
9,Cave de Turckheim 2012 Hengst Grand Cru Riesling (Alsace),Anne Krebiehl MW,"Lifted hints of chamomile and apple peel rise straight from the glass. The palate has the same streamlined citrus focus and just homes in on that sleek dry apple freshness that seem to be a dynamic force at the center of this wine. The flavors are concentrated and totally dominated by utter lemon freshness, tart and vivid to the last. Lovely now but with further potential. Drink now through 2030.",93,$50,Hengst Grand Cru,Riesling,"Alsace, Alsace, France",Cave de Turckheim,12.5%,750 ml,White,4/1/2017,Not rated yet [Add Your Review],Magnum Wines International,
10,B.R. Cohn 2009 Silver Label Cabernet Sauvignon (North Coast),Virginie Boone,"Medium-bodied and easy drinking, this Cabernet opens with yeasty red-fruit aromas and a touch of smoky oak, before finishing clean. A very good Cabernet Sauvignon that should be fairly easy to find.",86,$20,Silver Label,Cabernet Sauvignon,"North Coast, North Coast, California, US",B.R. Cohn,13.9%,750 ml,Red,7/1/2012,Not rated yet [Add Your Review],,
11,Château Haut Canteloup 2017  Blaye Côtes de Bordeaux,Roger Voss,This dry wine has firm tannins and old oak flavors. The wine is solid and will likely remain dry as it develops.,86,$25,,Bordeaux-style Red Blend,"Blaye Côtes de Bordeaux, Bordeaux, France",Château Haut Canteloup,13%,750 ml,Red,8/1/2020,Not rated yet [Add Your Review],Mr. Wine,
12,Baron Knyphausen 2011 Erbacher Michelmark Erste Lage Riesling (Rheingau),Anna Lee C. Iijima,"Hints of honey lend warmth to zesty aromas of lemon, lime and tangerine on this dry, steely wine. The palate is delicate, with tart notes of yellow peach and quince, but textured with streaks of mineral. Honed lemon-lime acidity leads a long, bracing finish.",92,$68,Erbacher Michelmark Erste Lage,Riesling,"Rheingau, Germany",Baron Knyphausen,13%,750 ml,White,4/1/2014,Not rated yet [Add Your Review],"Valckenberg International, Inc",
13,Dutton Estate 2009 Dutton Palms Vineyard Dutton Ranch Chardonnay (Russian River Valley),,"Flashy and flamboyant, but smells and tastes overoaked, with buttered toast, caramel and vanilla meringue notes swamping the underlying tangerine, lemon and mango fruit. Drink now.",86,$42,Dutton Palms Vineyard Dutton Ranch,Chardonnay,"Russian River Valley, Sonoma, California, US",Dutton Estate,14.5%,750 ml,White,11/1/2011,Not rated yet [Add Your Review],,
14,Marcarini 2006 Ciabot Camerano  (Barbera d'Alba),,"This wine gives the impression of having been pushed just a bit too far, with a nose and palate dominated by vanilla and mocha notes imparted by small oak barrels. Nonetheless, black cherry and strawberry flavors manage to peek through on the palate, supporte by a cushion of lush tannins. A bright cherry note makes for a nice finish.",86,$20,Ciabot Camerano,Barbera,"Barbera d'Alba, Piedmont, Italy",Marcarini,13.5%,750 ml,Red,2/1/2010,Not rated yet [Add Your Review],Empson USA Ltd,
15,Château de Malle 2017 Barrel Sample  (Sauternes),Roger Voss,"90–92. Barrel Sample. Rich while also intensely structured, this wine is already showing a delicious, open character. The acidity shines through the wine's sweetness, giving lift to the decadent spiced fruit tones. Drink from 2023.",91,N/A,Barrel Sample,"Bordeaux-style White Blend, White Blend","Sauternes, Bordeaux, France",Château de Malle,N/A,750 ml,Dessert,4/1/2018,Not rated yet [Add Your Review],Château de Malle,
16,Syncline 2005 Cuvée Elena Red Wine Red (Columbia Valley (WA)),Paul Gregutt,"This blend is concentrated and meaty. It perfectly captures and combines the raspberry intensity of the Grenache, the brambleberry fruit of the Mourvèdre and the peppery smoke and spice of the Syrah. Somehow winemaker James Mantone coaxes something akin to French garrigue out of the grapes as well, making this one of a handful of Washington Rhônes that really capture those elusive French herbal highlights.",93,$35,Cuvée Elena Red Wine,"Red Blends, Red Blends","Columbia Valley (WA), Columbia Valley, Washington, US",Syncline,N/A,750 ml,Red,3/1/2008,Not rated yet [Add Your Review],,Editors' Choice
